Date_Heure;weather_air_temperature;REFERENCE EFFICAP - Circuit AB ;REFERENCE EFFICAP - Circuit CD;weather_direct_normal_radiation;weather_precipitation;;;;;
01/05/2026 00:00;13.9;22.7;22.4;0;0;;;;;
01/05/2026 01:00;13.3;22.7;22.3;0;0;;;;;
01/05/2026 02:00;12.7;22.6;22.3;0;0;;;;;
01/05/2026 03:00;13.3;22.6;22.3;0;0;;;;;
01/05/2026 04:00;12.8;22.6;22.2;0;0;;;;;
01/05/2026 05:00;12.4;22.5;22.2;0;0;;;;;
01/05/2026 06:00;12;22.4;22.1;0;0;;;;;
01/05/2026 07:00;11.9;22.4;22.1;0;0;;;;;
01/05/2026 08:00;13;22.4;22.1;263.5;0;;;;;
01/05/2026 09:00;14.5;22.4;22.1;134.4;0;;;;;
01/05/2026 10:00;15.9;22.6;22.2;372.9;0;;;;;
01/05/2026 11:00;18.1;22.8;22.3;558;0;;;;;
01/05/2026 12:00;20.3;23;22.4;696.6;0;;;;;
01/05/2026 13:00;22.2;23.2;22.6;822.1;0;;;;;
01/05/2026 14:00;23.1;23.2;22.7;802.4;0.3;;;;;
01/05/2026 15:00;22.1;23.3;22.8;823.7;0.9;;;;;
01/05/2026 16:00;22.6;23.3;23;800.4;0.4;;;;;
01/05/2026 17:00;23;23.4;23;620.8;0.1;;;;;
01/05/2026 18:00;22.9;23.4;23;622.7;0.1;;;;;
01/05/2026 19:00;21.7;23.4;23;461.1;0.9;;;;;
01/05/2026 20:00;19.2;23.4;23;15.6;1.7;;;;;
01/05/2026 21:00;18;23.4;23;0;0.2;;;;;
01/05/2026 22:00;17.4;23.3;22.9;0;0;;T Ext Mai-juin 26 m24h;T int Mai-juin 26 m24h;;
01/05/2026 23:00;16.6;23.3;22.9;0;0;;17.20416667;22.73333333;;
02/05/2026 00:00;15.9;23.2;22.8;0;0;;17.2875;22.75208333;;
02/05/2026 01:00;15.4;23.2;22.8;0;0;;17.375;22.77291667;;
02/05/2026 02:00;14.8;23.2;22.7;0;0;;17.4625;22.79375;;
02/05/2026 03:00;14.4;23.2;22.7;0;0;;17.50833333;22.81458333;;
02/05/2026 04:00;13.9;23.1;22.7;0;0;;17.55416667;22.83541667;;
02/05/2026 05:00;13.6;23.1;22.7;0;0;;17.60416667;22.85833333;;
02/05/2026 06:00;13.4;23.1;22.6;0;0;;17.6625;22.88333333;;
02/05/2026 07:00;13.5;23.1;22.6;0;0;;17.72916667;22.90833333;;
02/05/2026 08:00;14.3;23.1;22.7;159.2;0;;17.78333333;22.93541667;;
02/05/2026 09:00;16.2;23.2;22.7;284.4;0;;17.85416667;22.96458333;;
02/05/2026 10:00;17.8;23.3;22.8;397.3;0;;17.93333333;22.99166667;;
02/05/2026 11:00;19.4;23.5;22.9;396.5;0;;17.9875;23.01875;;
02/05/2026 12:00;20.9;23.7;23.1;714.4;0;;18.0125;23.04791667;;
02/05/2026 13:00;22.8;23.8;23.2;761.3;0;;18.0375;23.07291667;;
02/05/2026 14:00;23.6;23.9;23.3;774;0;;18.05833333;23.1;;
02/05/2026 15:00;24.3;23.8;23.3;792.2;0;;18.15;23.12083333;;
02/05/2026 16:00;24.3;23.8;23.4;608.2;0;;18.22083333;23.13958333;;
02/05/2026 17:00;24.1;23.9;23.4;300.9;0;;18.26666667;23.15833333;;
02/05/2026 18:00;22.5;23.9;23.4;166.8;0;;18.25;23.17708333;;
02/05/2026 19:00;21.3;23.9;23.4;89;0.1;;18.23333333;23.19583333;;
02/05/2026 20:00;20.2;23.8;23.4;0;0.1;;18.275;23.2125;;
02/05/2026 21:00;17.8;23.7;23.3;0;0.1;;18.26666667;23.225;;
02/05/2026 22:00;17.3;23.7;23.3;0;0;;18.2625;23.24166667;;
02/05/2026 23:00;16.9;23.7;23.3;0;0;;18.275;23.25833333;;
03/05/2026 00:00;17.1;23.7;23.2;0;0;;18.325;23.27708333;;
03/05/2026 01:00;16.8;23.6;23.2;0;0;;18.38333333;23.29375;;
03/05/2026 02:00;16.1;23.6;23.1;0;0;;18.4375;23.31041667;;
03/05/2026 03:00;15.1;23.6;23.1;0;0;;18.46666667;23.32708333;;
03/05/2026 04:00;14.6;23.5;23.1;0;0;;18.49583333;23.34375;;
03/05/2026 05:00;14.3;23.5;23;0;0.1;;18.525;23.35833333;;
03/05/2026 06:00;13.6;23.5;23;0;1.3;;18.53333333;23.375;;
03/05/2026 07:00;13.6;23.4;22.9;0;1;;18.5375;23.3875;;
03/05/2026 08:00;13.5;23.3;22.9;0;1.6;;18.50416667;23.39583333;;
03/05/2026 09:00;14;23.2;23;0;0.1;;18.4125;23.40208333;;
03/05/2026 10:00;14.6;23.2;23;16.8;0.4;;18.27916667;23.40416667;;
03/05/2026 11:00;15.3;23.3;23;20.6;0.7;;18.10833333;23.40208333;;
03/05/2026 12:00;15.9;23.3;23;349.6;0.4;;17.9;23.39166667;;
03/05/2026 13:00;17.5;23.4;23.2;69.3;0.3;;17.67916667;23.38333333;;
03/05/2026 14:00;16.2;23.5;23.2;412.8;0.3;;17.37083333;23.37291667;;
03/05/2026 15:00;17.2;23.5;23.2;53;0.3;;17.075;23.36458333;;
03/05/2026 16:00;16.6;23.6;23.3;318.4;0.3;;16.75416667;23.35833333;;
03/05/2026 17:00;18.1;23.6;23.3;70;0.2;;16.50416667;23.35;;
03/05/2026 18:00;17.4;23.7;23.3;4.6;0.4;;16.29166667;23.34375;;
03/05/2026 19:00;16.9;23.8;23.4;0;0.3;;16.10833333;23.34166667;;
03/05/2026 20:00;16.4;23.7;23.3;0;0.1;;15.95;23.3375;;
03/05/2026 21:00;15.5;23.6;23.3;0;0.1;;15.85416667;23.33541667;;
03/05/2026 22:00;14.4;23.5;23.3;0;0;;15.73333333;23.33125;;
03/05/2026 23:00;13.9;23.5;23.2;0;0;;15.60833333;23.325;;
04/05/2026 00:00;13.7;23.4;23.2;0;0;;15.46666667;23.31875;;
04/05/2026 01:00;13.3;23.4;23.1;0;0;;15.32083333;23.3125;;
04/05/2026 02:00;13.2;23.4;23.1;0;0;;15.2;23.30833333;;
04/05/2026 03:00;13.1;23.4;23;0;0;;15.11666667;23.30208333;;
04/05/2026 04:00;12.9;23.4;23;0;0;;15.04583333;23.29791667;;
